Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (Ohio),,Amazon CloudFront,0,0,0.00,USD,
My Estimate,US East (Ohio),,S3 Standard,0,0.02,0.24,USD,S3 Standard storage (1 GB per month)
My Estimate,US East (Ohio),,Data Transfer,0,0,0.00,USD,
My Estimate,US East (Ohio),,VPN Connection,0,1792,21504.00,USD,"Working days per month (30), Number of subnet associations (4)"
My Estimate,US East (Ohio),,Network Address Translation (NAT) Gateway,0,65.78,789.36,USD,Number of NAT Gateways (2)
My Estimate,US East (Ohio),,Amazon EC2,0,258.15999999999997,3097.92,USD,"Operating system (Linux), Quantity (4), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (30 GB), Instance type (t4g.xlarge)"
My Estimate,US East (Ohio),,Amazon EC2,0,96.52,1158.24,USD,"Operating system (Linux), Quantity (2), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (30 GB), Instance type (m4.large)"
My Estimate,US East (Ohio),,Network Load Balancer,0,60.23,722.76,USD,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (10 GB per hour), Average number of new TCP connections ( per second)"
My Estimate,US East (Ohio),,Application Load Balancer,0,74.83,897.96,USD,Number of Application Load Balancers (1)
My Estimate,US East (Ohio),,Amazon RDS for MySQL,0,5119.82,61437.84,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (30 GB), Quantity (1), Instance type (db.m4.10xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
